game_pk,game_date,game_type,season,away_team,away_team_id,home_team,home_team_id,venue,status
746823,2024-09-19,R,2024,Washington Nationals,120,Chicago Cubs,112,Wrigley Field,Final
746341,2024-09-19,R,2024,Los Angeles Angels,108,Houston Astros,117,Minute Maid Park,Final
746824,2024-09-20,R,2024,Washington Nationals,120,Chicago Cubs,112,Wrigley Field,Final
746661,2024-09-20,R,2024,Pittsburgh Pirates,134,Cincinnati Reds,113,Great American Ball Park,Final
745043,2024-09-20,R,2024,Toronto Blue Jays,141,Tampa Bay Rays,139,Tropicana Field,Final
746984,2024-09-20,R,2024,Detroit Tigers,116,Baltimore Orioles,110,Oriole Park at Camden Yards,Final
746905,2024-09-20,R,2024,Minnesota Twins,142,Boston Red Sox,111,Fenway Park,Final
745770,2024-09-20,R,2024,Philadelphia Phillies,143,New York Mets,121,Citi Field,Final
746013,2024-09-20,R,2024,Atlanta Braves,144,Miami Marlins,146,loanDepot park,Final
744960,2024-09-20,R,2024,Seattle Mariners,136,Texas Rangers,140,Globe Life Field,Final
746340,2024-09-20,R,2024,Los Angeles Angels,108,Houston Astros,117,Minute Maid Park,Final
746256,2024-09-20,R,2024,San Francisco Giants,137,Kansas City Royals,118,Kauffman Stadium,Final
745934,2024-09-20,R,2024,Arizona Diamondbacks,109,Milwaukee Brewers,158,American Family Field,Final
745123,2024-09-20,R,2024,Cleveland Guardians,114,St. Louis Cardinals,138,Busch Stadium,Final
745364,2024-09-20,R,2024,Chicago White Sox,145,San Diego Padres,135,Petco Park,Final
745606,2024-09-20,R,2024,New York Yankees,147,Oakland Athletics,133,Oakland Coliseum,Final
746094,2024-09-20,R,2024,Colorado Rockies,115,Los Angeles Dodgers,119,Dodger Stadium,Final
746660,2024-09-21,R,2024,Pittsburgh Pirates,134,Cincinnati Reds,113,Great American Ball Park,Final
746826,2024-09-21,R,2024,Washington Nationals,120,Chicago Cubs,112,Wrigley Field,Final
746983,2024-09-21,R,2024,Detroit Tigers,116,Baltimore Orioles,110,Oriole Park at Camden Yards,Final
745038,2024-09-21,R,2024,Toronto Blue Jays,141,Tampa Bay Rays,139,Tropicana Field,Final
745768,2024-09-21,R,2024,Philadelphia Phillies,143,New York Mets,121,Citi Field,Final
746012,2024-09-21,R,2024,Atlanta Braves,144,Miami Marlins,146,loanDepot park,Final
746255,2024-09-21,R,2024,San Francisco Giants,137,Kansas City Royals,118,Kauffman Stadium,Final
744958,2024-09-21,R,2024,Seattle Mariners,136,Texas Rangers,140,Globe Life Field,Final
746338,2024-09-21,R,2024,Los Angeles Angels,108,Houston Astros,117,Minute Maid Park,Final
745936,2024-09-21,R,2024,Arizona Diamondbacks,109,Milwaukee Brewers,158,American Family Field,Final
745124,2024-09-21,R,2024,Cleveland Guardians,114,St. Louis Cardinals,138,Busch Stadium,Final
745360,2024-09-21,R,2024,Chicago White Sox,145,San Diego Padres,135,Petco Park,Final
745610,2024-09-21,R,2024,New York Yankees,147,Oakland Athletics,133,Oakland Coliseum,Final
746096,2024-09-21,R,2024,Colorado Rockies,115,Los Angeles Dodgers,119,Dodger Stadium,Final
746906,2024-09-22,R,2024,Minnesota Twins,142,Boston Red Sox,111,Fenway Park,Postponed
746903,2024-09-22,R,2024,Minnesota Twins,142,Boston Red Sox,111,Fenway Park,Final
